"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 05 00:27:47 TRT 2024","Mon Feb 05 00:27:47 TRT 2024","224","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Response Status",""
"passed","Mon Feb 05 00:27:47 TRT 2024","Mon Feb 05 00:27:48 TRT 2024","369","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Invalid Endpoint",""
