"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 05 00:28:03 TRT 2024","Mon Feb 05 00:28:03 TRT 2024","168","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Invalid Endpoint",""
"passed","Mon Feb 05 00:28:03 TRT 2024","Mon Feb 05 00:28:03 TRT 2024","247","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Response Status",""
